HAVNE_ID;NAVN;ERHVERVSHAVN;LYSTBAADEHAVN;PLAN;PLAN2;PLAN3;PLAN_OPDATERET;PLAN2_OPDATERET;PLAN3_OPDATERET;FOTO1;FOTOTEKST1;OPR1;FOTOGRAFNAVN1;FOTO2;FOTOTEKST2;OPR2;FOTOGRAFNAVN2;FOTO3;FOTOTEKST3;OPR3;FOTOGRAFNAVN3;FOTO4;FOTOTEKST4;OPR4;FOTOGRAFNAVN4;FOTO5;FOTOTEKST5;OPR5;FOTOGRAFNAVN5;FOTO6;FOTOTEKST6;OPR6;FOTOGRAFNAVN6;FOTO7;FOTOTEKST7;OPR7;FOTOGRAFNAVN7;FOTO8;FOTOTEKST8;OPR8;FOTOGRAFNAVN8;BREDDE;LAENGDE;X;Y
151;Hårbølle Hestehave Anlægsbro;0;0;;;;;;;SM_HRBHA1;;juli 2001;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54°52,9'N;012°08,5'E;701503;6086160
153;Jacobshavn;0;-1;;;;;;;SM_JACOB1;;august 2016;JW Luftfoto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°11,9'N;011°44,8'E;674803;6120283
64;Egernsund Havn;0;-1;LF_EGNSU;;;mar 06, 2020 12:00:00 AM;;;KOBEGNSU1;;juli 2014;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54°54,5'N;009°36,0'E;538538;6084750
60;Dyvig Bro;0;-1;LF_DYVBR;;;apr 27, 2018 12:00:00 AM;;;LF_DYVIG1;;juli 2011;Arne Magnussen, Helsingør;LF_DYVBR1;;juli 2011;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;55°02,7'N;009°42,3'E;545019;6099924
672;Sølager Færgeleje;0;0;;;;;;;SK_SOLAG1;;august 2019;Luftfoto Danmark ApS;SK_SOLAG2;;august 2019;Luftfoto Danmark ApS;SK_SOLAG3;;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;55°56,6'N;011°54,2'E;681252;6203694
668;Stige Ø Lystbådehavn;0;-1;SK_STIGO;;;apr 16, 2003 12:00:00 AM;;;SK_STIGO1;Havnen set fra SW;august 2019;Luftfoto Danmark ApS;SK_STIGO2;Havnen set fra N;august 2019;Luftfoto Danmark ApS;SK_STIGO3;Havnen og kanalen set fra S;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;55°26,4'N;010°25,4'E;590029;6144634
666;Snaptun Havn;0;-1;SK_SNPTU;;;aug 17, 2011 12:00:00 AM;;;SK_SNPTU1;;august 2009;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°49,3'N;010°03,1'E;565963;6186813
664;Skuldelev Havn;0;-1;SK_SKLEV;;;okt 19, 2005 12:00:00 AM;;;SK_SKLEV1;;august 2019;Luftfoto Danmark ApS;SK_SKLEV2;;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;;;;;55°47,7'N;012°03,5'E;691660;6187562
156;Jungshoved Kirkehavn;0;-1;SM_JUNHD;;;jun 16, 2017 12:00:00 AM;;;SM_JUNHD1;;august 2019;Luftfoto Danmark ApS;SM_JUNHD2;;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;;;;;55°04,9'N;012°07,3'E;699223;6108284
120;Helligpeder Havn;0;-1;BO_HLIPD;;;jan 31, 2020 12:00:00 AM;;;BO_HLIPD1;;august 2018;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°12,7'N;014°42,4'E;862910;6133237
124;Hesnæs Havn;0;-1;SM_HSNAS;;;dec 14, 2018 12:00:00 AM;;;SM_HSNAS1;;maj 1997;Jørgen Schou Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54°49,4'N;012°08,3'E;701603;6079606
125;Hestehoved Lystbådehavn ;0;-1;SM_HSHVD;;;jun 29, 2018 12:00:00 AM;;;SM_HSHVD1;;juli 2012;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54°49,9'N;011°05,6'E;634507;6078070
61;Dyvig Bådelaug Lystbådehavn;0;-1;LF_DYVBL;;;maj 18, 2018 12:00:00 AM;;;LF_DYVIG1;;juli 2011;Arne Magnussen, Helsingør;LF_DYVBL1;;juli 2011;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;55°02,5'N;009°42,3'E;545024;6099709
56;Drejø Havn;0;-1;LF_DRJOE;;;sep 28, 2018 12:00:00 AM;;;LF_DRJOE1;;maj 1997;Jørgen Schou Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54°57,9'N;010°26,2'E;591985;6091902
58;Dybvig Havn;0;-1;SM_DYBVG;;;jul 13, 2016 12:00:00 AM;;;SM_DYBVG1;;juli 2012;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54°56,7'N;011°26,1'E;656015;6091294
716;Københavns Havn;-1;-1;SUTOVKBH;;;mar 17, 2017 12:00:00 AM;;;SUTKBHXX1;Orientbassin, Kronløbsbassin og Nordbassin;juli 2012;Arne Magnussen, Helsingør;SUTKBHXX2;Oceankaj;august 2015;JW Luftfoto;SUTKBHXX3;Frihavnen med marina i Vestbassinet;juli 2006;Arne Magnussen, Helsingør;SUTKBHXX4;Inderhavnen;juli 2006;Arne Magnussen, Helsingør;SUTKBHXX5;Sydhavnen;juli 2012;Arne Magnussen, Helsingør;SUTKBHXX6;Prøvesten;juli 2006;Arne Magnussen, Helsingør;SUTKBHXX7;Lynetteløbet;juli 2006;Arne Magnussen, Helsingør;;;;;55°39,9'N;012°34,3'E;725900;6176049
170;Kindvig Havn;0;-1;SM_KNDVG;;;dec 21, 2018 12:00:00 AM;;;SM_KNDVG1;;august 2019;Luftfoto Danmark ApS;SM_KNDVG2;;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;;;;;55°02,9'N;012°07,7'E;699897;6104592
669;Strib Bådehavn;0;-1;SK_STRIB;;;maj 15, 2020 12:00:00 AM;;;SK_STRIB1;Set fra NW;august 2018;Luftfoto Danmark ApS;SK_STRIB2;Set fra SW;august 2018;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;;;;;55°32,3'N;009°45,7'E;548048;6155077
